year,state,all_death,nat_death,syn_death,methad_death,heroin_death,presc_rate,treat_fac,uninsur,uninsur_rate,insur,insur_rate,labor_force,employed,employed_rate,unemployed,unemployed_rate,poverty,poverty_rate,median_income
2006,Alabama,124,49,22,65,NA,115.6,88,621448,15.7,3340196,84.3,2167813,2080235,95.23134328358209,87578,4.76865671641791,743556,16.6,38811
2006,Alaska,29,14,NA,11,NA,63.4,52,120562,19.4,501193,80.6,349698,326545,91.01851851851852,23153,8.98148148148148,71120,10.9,58572
2006,Arizona,459,187,54,88,52,74.3,140,1185052,21.8,4262602,78.2,2990443,2864386,94.01333333333334,126057,5.98666666666666,860355,14.2,47315
2006,Arkansas,140,68,31,70,NA,98.3,37,486956,20.2,1927308,79.8,1365421,1294917,94.11466666666666,70504,5.88533333333333,471161,17.3,36627
2006,California,1511,820,154,276,274,51,1516,6829725,21.3,25174844,78.7,17654112,16789426,93.73448275862069,864686,6.26551724137931,4686706,13.1,56646
2006,Colorado,326,123,27,62,39,62.2,365,804462,18.7,3507083,81.3,2622246,2509731,95.8,112515,4.2,539332,11.6,52265
2006,Connecticut,224,38,11,59,87,64.7,165,348724,11.7,2640938,88.3,1828657,1749195,95.7375,79462,4.2625,281079,8.3,63352
2006,Delaware,37,13,12,13,NA,86.6,36,97688,13.2,640124,86.8,441184,425399,96.56666666666666,15785,3.43333333333333,88749,10.7,53714
2006,District of Columbia,55,14,NA,12,NA,31.7,38,69419,13.6,441769,86.4,316083,297786,94.2,18297,5.8,99671,18.1,51746
2006,Florida,1223,583,131,516,87,79.7,490,3730428,24.9,11227154,75.1,9000206,8709524,96.65671641791045,290682,3.34328358208955,2232534,12.6,45494
2006,Georgia,331,130,57,137,NA,79.8,165,1673525,19.7,6812285,80.3,4710786,4489132,94.98427672955975,221654,5.01572327044025,1340255,14.8,46808
2006,Hawaii,54,30,NA,19,NA,42.3,96,105508,9.8,972300,90.2,638262,621574,97.325,16688,2.675,117811,9.4,60554
2006,Idaho,70,30,NA,35,NA,75.6,47,226111,17.3,1083961,82.7,747379,721346,95.90227272727273,26033,4.09772727272727,182933,12.8,42846
2006,Illinois,870,107,375,91,63,55.6,526,1787151,16,9394847,84,6526283,6230845,95.29117647058824,295438,4.70882352941176,1536133,12.3,52012
2006,Indiana,176,49,48,49,NA,94.3,296,784146,14.3,4706507,85.7,3235120,3072118,94.7804347826087,163002,5.2195652173913,768642,12.5,45414
2006,Iowa,93,51,16,22,NA,59.3,83,272711,10.8,2253457,89.2,1657588,1596530,96.16969696969697,61058,3.83030303030303,315973,11,44560
2006,Kansas,120,62,19,44,NA,77.5,190,321869,13.5,2065599,86.5,1467098,1402804,96.18095238095239,64294,3.81904761904761,327103,12.2,45369
